StudentID,Student Name,Personal Email,University Email,Student Type,Offer Type,Course Name,Campus,Original COE Start Date,Course Start Date,Course End Date,COE Status,Specialisation,Pathway Indicator,ICT501,ICT502,ICT503,ICT504,ICT601,ICT602,ICT603,ICT604,ICT701,ICT702,ICT703,ICT704,ICT705,ICT706,ICT707,ICT708,ICT709,ICT710,ICT711,ICT712,ICT751,ICT752,ICT801,ICT802,ICT803,No Of specified CTs,No Of Unspecified CTs,No Of Transition CTs,Total No Of CTs,No Of Passed Units,No Of Remaining Units
21,C,,,CRICOS Onshore Enrolment,,Master of Information Technology and Systems,Geelong,,,,Studying,Cyber Security,,,,,,,,,,,,,"2024,GC,SEM2 ",,"2024,GC,SEM2 ",,,,,,,,,"2024,GC,SEM2 ",,,,,,,,
22,A,,,CRICOS Onshore Enrolment,,Master of Information Technology and Systems,Geelong,,,,Studying,Business Analytics,,,,,,,,,,"2024,GC,SEM2 ","2024,GC,SEM2 ","2024,GC,SEM2 ",,"2024,GC,SEM2 ",,,,,,,,,,,,,,,,,,
23,B,,,CRICOS Onshore Enrolment,,Master of Information Technology and Systems,Geelong,,,,Studying,Analytics,,,,,,,"2024,GC,SEM2 ","2024,GC,SEM2 ",,,,,,"2024,GC,SEM2 ",,"2024,GC,SEM2 ",,,,,,,,,,,,,,,,
24,C,,,CRICOS Onshore Enrolment,,Master of Information Technology and Systems,Geelong,,,,Studying,Cyber Security,,,,,,,,,,,,,"2024,GC,SEM2 ","2024,GC,SEM2 ","2024,GC,SEM2 ","2024,GC,SEM2 ",,,,,,,,,,,,,,,,
25,A,,,CRICOS Onshore Enrolment,,Master of Information Technology and Systems,Geelong,,,,Studying,Information Systems,,,,,,,,,,"2024,GC,SEM2 ",,"2024,GC,SEM2 ",,,,"2024,GC,SEM2 ","2024,GC,SEM2 ",,,,,,,,,,,,,,,
26,B,,,CRICOS Onshore Enrolment,,Master of Information Technology and Systems,Geelong,,,,Studying,Information Systems,,,,,,,,,,,,,,,,,"2024,GC,SEM2 ","2024,GC,SEM2 ",,,,,,"2024,GC,SEM2 ",,,,,,,,
27,C,,,CRICOS Onshore Enrolment,,Master of Information Technology and Systems,Geelong,,,,Studying,Cyber Security,,,,,,,,,,,,,"2024,GC,SEM2 ","2024,GC,SEM2 ","2024,GC,SEM2 ","2024,GC,SEM2 ",,,,,,,,,,,,,,,,
28,A,,,CRICOS Onshore Enrolment,,Master of Information Technology and Systems,Geelong,,,,Studying,Cyber Security,,,,,,,,,,,,,"2024,GC,SEM2 ","2024,GC,SEM2 ","2024,GC,SEM2 ","2024,GC,SEM2 ",,,,,,,,,,,,,,,,
29,B,,,CRICOS Onshore Enrolment,,Master of Information Technology and Systems,Geelong,,,,Studying,Cyber Security,,,,,,,,,,,,,"2024,GC,SEM2 ",,"2024,GC,SEM2 ",,,,,,,,,"2024,GC,SEM2 ","2024,GC,SEM2 ",,,,,,,
30,C,,,CRICOS Onshore Enrolment,,Master of Information Technology and Systems,Geelong,,,,Studying,Software Engineering,,,,,,,,,,,,,,,,,,,"2024,GC,SEM2 ",,"2024,GC,SEM2 ",,,"2024,GC,SEM2 ",,,,,,,,
31,A,,,CRICOS Onshore Enrolment,,Master of Information Technology and Systems,Geelong,,,,Studying,Software Engineering,,,,,,,,,,,,,,,,,,,"2024,GC,SEM2 ",,"2024,GC,SEM2 ",,,"2024,GC,SEM2 ","2024,GC,SEM2 ",,,,,,,
32,B,,,CRICOS Onshore Enrolment,,Master of Information Technology and Systems,Geelong,,,,Studying,Cyber Security,,,,,,,,,,,,,"2024,GC,SEM2 ",,"2024,GC,SEM2 ",,,,,,,,,"2024,GC,SEM2 ","2024,GC,SEM2 ",,,,,,,
33,C,,,CRICOS Onshore Enrolment,,Master of Information Technology and Systems,Geelong,,,,Studying,Cyber Security,,,,,,,,,,,,,"2024,GC,SEM2 ","2024,GC,SEM2 ","2024,GC,SEM2 ","2024,GC,SEM2 ",,,,,,,,,,,,,,,,
34,A,,,CRICOS Onshore Enrolment,,Master of Information Technology and Systems,Geelong,,,,Studying,Business Analytics,,"2024,GC,SEM2 ",,"2024,GC,SEM2 ","2024,GC,SEM2 ",,"2024,GC,SEM2 ",,,,,,,,,,,,,,,,,,,,,,,,,
35,B,,,CRICOS Onshore Enrolment,,Master of Information Technology and Systems,Geelong,,,,Studying,Business Analytics,,,,,,,"2024,GC,SEM2 ","2024,GC,SEM2 ",,,,,,"2024,GC,SEM2 ",,"2024,GC,SEM2 ",,,,,,,,,,,,,,,,
